"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_G2M_CHECKPOINT",0.00163132137030995,0.0031164298180005,-0.520741746212315,-2.15595390290445,0,200,"3226, 1112, 2935, 10146, 10274, 26271, 4502, 7514, 5558, 7112, 4609, 890, 1031, 8899, 85236, 990, 10492, 7150, 10772, 10664, 6426, 3015, 5885, 51776, 1164, 8819, 4853, 2146, 10926, 57082, 11104, 387893, 7090, 7040, 3799, 9184, 5926, 8454, 1432, 23047, 2176, 3930, 1027, 56992, 7153, 94239, 1163, 8318, 5933, 1756, 904, 10051, 9232, 262, 595, 9994, 4172, 580, 6760, 11065, 3091, 1874, 6541, 4331, 9493, 993, 9212, 675, 9156, 1019, 602, 6434, 7486, 983, 1841, 3364, 1111, 10212, 6118, 8452, 1810, 10024, 8451, 4288"
"HALLMARK_HYPOXIA",0.00163132137030995,0.0031164298180005,-0.569080647357136,-2.35608466511686,0,200,"3219, 1634, 10957, 4783, 6275, 7852, 4493, 694, 26136, 302, 5033, 229, 23764, 54541, 2719, 4601, 7128, 4502, 1316, 55276, 2239, 11015, 57007, 596, 23210, 1956, 6383, 1843, 55818, 55076, 1907, 3486, 1490, 51316, 839, 3099, 8660, 7538, 25976, 8974, 8819, 124872, 205, 4214, 8459, 5228, 2355, 857, 5105, 1289, 6513, 3569, 136, 6518, 5329, 2651, 2113, 901, 8991, 8614, 1027, 123, 23036, 7422, 54206, 7511, 5507, 6095, 133, 7045, 8870, 7428, 54800, 5236, 538, 1356, 8406, 2353, 6478, 1026, 2309, 5317, 9469, 3491, 1649, 2203, 3725, 56925, 2908, 5292, 6515"
"HALLMARK_IL2_STAT5_SIGNALING",0.0016366612111293,0.0031164298180005,-0.536245672287826,-2.21806116758604,0,199,"4783, 10875, 7850, 5732, 8530, 5033, 22822, 23764, 3459, 1326, 1316, 962, 596, 130589, 942, 5243, 79026, 5167, 4616, 3394, 4609, 8611, 9249, 10124, 51284, 990, 4860, 64332, 23191, 3099, 57045, 7133, 23075, 3559, 221143, 3685, 10888, 462, 10924, 3480, 22807, 2012, 5583, 8477, 8809, 5745, 3976, 3655, 974, 80760, 126669, 5359, 5269, 123, 3587, 6095, 4907, 4641, 896, 598, 64116, 2323, 6402, 6004, 399, 51429, 3566, 3664, 8320, 1690, 8202, 6510, 79971, 7494, 3586, 1233, 10410, 9173, 4084, 943, 8835, 214, 3662, 84230, 9261, 3482, 2118, 1522, 5292, 6515, 5727, 1435, 5621, 822, 10538, 84525"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00171526586620926,0.0031164298180005,-0.626598993246843,-2.31593681603202,0,87,"3953, 55540, 7850, 3561, 7097, 3459, 1326, 3659, 2921, 1438, 3597, 5320, 5196, 5771, 2919, 7133, 3559, 56034, 9021, 94, 355, 10563, 3554, 3572, 8809, 3569, 7040, 23533, 7132, 83729, 929, 51330, 10254, 1230, 10148, 1441, 1439, 4055, 3460, 3566, 9180, 3601, 3725, 3690, 5292, 1435"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00163132137030995,0.0031164298180005,-0.580081417769045,-2.40162960956777,0,200,"4792, 3606, 6542, 5732, 1880, 7097, 8685, 5996, 6372, 2719, 2014, 8807, 1316, 8767, 719, 728, 962, 19, 255488, 60675, 1906, 4609, 3576, 3659, 2773, 366, 3696, 6364, 10135, 5970, 4790, 969, 4481, 2867, 7133, 7096, 6504, 10203, 1536, 7076, 3575, 3600, 3932, 7832, 8519, 1604, 4233, 3554, 4323, 8809, 3569, 3976, 23533, 6352, 136, 9111, 5329, 10006, 5734, 6717, 929, 64127, 958, 10148, 55829, 3937, 3587, 3678, 7130, 133, 1441, 2357, 3665, 3383, 6402, 7098, 6004, 2015, 3460, 4067, 3566, 27074, 9180, 9034, 3091, 3586, 6541, 6870, 1026, 5894, 4084, 2643, 3601, 4210, 4049, 23166, 6361, 5027, 8671, 3386, 5724, 6347, 3690, 23601, 8877, 1435, 3656, 3269, 10663"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00174216027874564,0.0031164298180005,-0.455066489563002,-1.69886877410113,0,97,"54809, 8767, 834, 85363, 55603, 1997, 3659, 841, 51667, 10161, 716, 567, 2766, 3600, 8519, 87178, 9111, 3660, 5359, 10581, 5720, 64135, 2634, 10628, 972, 3665, 6402, 3566, 27074, 9034, 83666, 3107, 10410, 4343, 5721, 3429, 219285, 11274, 6737, 1435, 10437"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00163132137030995,0.0031164298180005,-0.53451396930022,-2.212973103562,0,200,"4792, 3075, 10875, 694, 837, 7128, 4502, 8767, 8673, 834, 25939, 7412, 629, 942, 26524, 840, 10791, 9934, 3394, 10124, 3659, 841, 3123, 710, 4860, 3117, 716, 196410, 3717, 10135, 27348, 567, 5771, 4790, 969, 3600, 9021, 84888, 355, 6398, 715, 87178, 6375, 3569, 6352, 9111, 3660, 51015, 10797, 6717, 5359, 3108, 958, 3106, 3663, 10581, 3937, 57162, 3587, 5720, 64135, 7130, 10628, 972, 2357, 1439, 3665, 3383, 23586, 3566, 2209, 8202, 22914, 3091, 10410, 1026, 8082, 2643, 3601, 5721, 3429, 219285, 3662, 11274, 7903, 6347, 5292, 3434, 29126, 6737, 10437, 84159, 5683, 3455, 5777, 4615, 10392, 3620, 5610, 256586, 5696, 684, 6890, 54625, 6774, 4261, 1240"
"HALLMARK_KRAS_SIGNALING_UP",0.00163132137030995,0.0031164298180005,-0.547600467465354,-2.26715329364603,0,200,"6590, 4318, 3237, 3481, 55273, 3075, 3561, 7852, 51311, 2162, 10205, 5473, 9314, 51012, 50486, 64123, 81617, 2995, 383, 330, 7128, 1520, 2791, 719, 23643, 7035, 629, 5243, 3394, 5175, 3486, 1438, 84869, 347, 3936, 5936, 56729, 6364, 51199, 8854, 51193, 7133, 5396, 10320, 2207, 3575, 4214, 6480, 1794, 2012, 7805, 3398, 3976, 951, 26272, 5329, 27299, 3689, 4803, 7851, 1363, 10912, 2150, 81602, 2113, 9945, 9358, 3587, 55339, 80380, 6004, 10457, 23268, 2982, 55365"
"HALLMARK_MTORC1_SIGNALING",0.00163132137030995,0.0031164298180005,-0.415077047353063,-1.71848519300781,0,200,"4783, 10875, 7852, 900, 441024, 26136, 5033, 54541, 5352, 7374, 3475, 4048, 6503, 1075, 5723, 3488, 3417, 871, 4860, 3329, 3336, 27230, 3099, 26471, 10135, 10963, 27071, 23657, 7323, 23478, 6016, 205, 6917, 7832, 6513, 27101, 5052, 1719, 8894, 10797, 3689, 29968, 5464, 29110, 120, 7184, 23165, 6745, 5236, 2717, 6510, 6184, 7494, 6241, 1026, 993, 4802, 1649, 116496, 4199, 5685, 112399, 3313, 6515, 10212, 7296, 10437"
"HALLMARK_MYC_TARGETS_V1",0.00163132137030995,0.0031164298180005,-0.51901083599387,-2.14878765846913,0,200,"2935, 10146, 3475, 7913, 1017, 7514, 7555, 3068, 5111, 4609, 3183, 890, 5984, 56910, 6146, 10492, 9045, 3329, 3336, 6128, 3181, 6426, 6637, 1665, 22916, 3015, 6164, 3735, 10399, 26135, 4673, 6741, 10054, 26986, 6432, 3066, 22948, 8894, 23435, 9184, 11260, 6194, 2091, 6188, 8454, 6428, 9188, 5093, 51491, 7332, 3608, 7398, 10728, 8318, 10236, 7203, 6629, 5496, 6950, 5245, 51020, 1973, 10574, 10935, 2079, 1019, 8664, 10575, 6204, 4869, 26156, 1503, 6434, 5685, 6175, 11335, 8669, 5036, 4686, 6187, 1854, 6141, 5683, 5682, 6626, 1965, 708, 7307, 2739, 10549, 8886, 6732"
