GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
105378606,12.99807379,-1.458224057,0.344561239,-4.232118682,2.32E-05,0.000616468
107984909,3.471603746,-0.955183086,0.456528541,-2.092274634,0.036413955,0.131069092
105378605,19.31717489,-0.419203344,0.264309065,-1.586034682,0.112731442,0.277944264
105378604,33.86187659,-0.099701515,0.316574495,-0.314938559,0.752808305,0.867349357
27237,92.7841621,0.028175983,0.150637293,0.187045205,0.85162519,0.925170112
1953,431.89082,0.050397055,0.132740285,0.379666619,0.704192902,0.837949289
105378608,0.456663572,-0.804794138,1.208000488,-0.666220044,0.505270463,NA
693135,0,NA,NA,NA,NA,NA
105378607,0.093183205,0.409229735,2.740729955,0.14931414,0.881305759,NA
127262,5673.003302,0.131602602,0.102831155,1.279793098,0.200617912,0.401680136
49856,550.0266764,0.00995948,0.079295026,0.125600317,0.900048312,0.949762204
7161,57.37242786,0.151003084,0.18292028,0.825513084,0.409080358,0.619430758
105378610,0.153481097,-0.434220037,2.821332315,-0.153906023,0.877683835,NA
105378609,0.050567311,0.231167484,3.225584499,0.071666851,0.942867037,NA
57212,1009.594027,0.250451992,0.110232624,2.272031474,0.023084609,0.095417452
148870,5.137097895,0.52300117,0.318538379,1.641878041,0.100615282,0.257625232
388588,17.73391735,0.074350293,0.24660866,0.301491007,0.763040106,0.872943492
57470,2301.208953,0.100486126,0.069973617,1.436057328,0.150986029,0.335151922
9731,1037.534915,0.122025366,0.102249959,1.193402592,0.23271174,0.440652719
1677,469.0580547,0.025534785,0.113771108,0.224439979,0.822414965,0.907529276
107984910,13.68239192,-0.214664477,0.34034433,-0.630727348,0.528218814,0.716137398
339448,540.4320367,0.02333297,0.072239465,0.322994783,0.746699193,0.863974812
100133612,3.199935573,-0.465489643,0.348276985,-1.33655011,0.181369533,0.377913311
728716,6.473605067,-0.405776092,0.382758391,-1.06013637,0.289082564,0.50332271
105376672,7.704582834,-0.317636104,0.330769019,-0.960295813,0.336906357,0.550820471
105376673,0.452627085,0.258978143,0.875275727,0.295881784,0.767320363,NA
284661,0.594454565,-0.013741,0.818028414,-0.016797705,0.986598001,0.993917237
105376674,0.749514858,1.400580647,0.802757173,1.744712716,0.081034889,0.223426866
105376679,0.065064518,0.349161783,3.225582398,0.108247671,0.913799231,NA
107985376,0.411269021,-0.652743552,1.265173869,-0.515931895,0.605901977,NA
55966,2037.711117,-0.104494479,0.125478898,-0.832765353,0.404977078,0.615588425
105376680,0.130996342,-0.434195497,2.573535653,-0.168715555,0.866020383,NA
102724429,0,NA,NA,NA,NA,NA
105376681,0,NA,NA,NA,NA,NA
105376682,0,NA,NA,NA,NA,NA
107984911,0.343475879,0.473336987,0.91863103,0.515263442,0.606368941,NA
105376686,1.30304236,-1.664504554,0.63879037,-2.605713287,0.009168317,0.048983673
100616421,0.23634771,0.671159025,1.122134633,0.59810918,0.549767085,NA
261734,707.4590059,0.27683726,0.079568376,3.479237264,0.000502843,0.006034118
8514,13140.57775,0.309999894,0.147071908,2.107811737,0.035047277,0.127575952
26038,9938.662195,0.342506416,0.182426379,1.877504881,0.060448929,0.184609535
105376687,10.44258559,0.676762882,0.348092291,1.944205315,0.051870697,0.16638928
6146,6835.06096,-0.335897302,0.090943881,-3.693456888,0.000221226,0.003248783
107985733,85.79683212,-0.099473814,0.116586046,-0.853222298,0.39353604,0.606164405
102724450,33.5655048,0.352050229,0.175729961,2.003359176,0.04513875,0.15198063
388591,631.2495296,0.368859078,0.14560001,2.533372611,0.011297079,0.056980488
23463,1847.240282,-0.006219557,0.066246933,-0.093884445,0.92520095,0.962493299
148645,1.50386659,-0.656550433,0.516307487,-1.271626792,0.203505753,0.405365287
390992,0.42904602,0.163869609,0.947899799,0.17287651,0.862748496,NA
